,species,accession
0,L_plantarum,GCA_001633485.1
1,L_plantarum,GCA_001639645.1
2,L_plantarum,GCA_001633355.1
3,L_plantarum,GCA_001633675.1
4,L_plantarum,GCA_001633575.1
5,L_plantarum,GCA_001633495.1
6,L_plantarum,GCA_001633505.1
7,L_plantarum,GCA_001633405.1
8,L_plantarum,GCA_001633545.1
9,L_plantarum,GCA_001633335.1
10,L_plantarum,GCA_001633415.1
11,L_plantarum,GCA_001633325.1
12,L_plantarum,GCA_001639485.1
13,L_plantarum,GCA_001633595.1
14,L_plantarum,GCA_001633565.1
15,L_plantarum,GCA_001633665.1
16,L_plantarum,GCA_001633605.1
17,L_plantarum,GCA_001633645.1
18,L_plantarum,GCA_001308305.1
19,L_plantarum,GCA_000203855.3
20,L_plantarum,GCA_001633435.1
